event,file,n_posterior,n_prior,analysis_group,between_group_abs_corr,group_total_mean_bits,joint_mean_bits,marginal_1d_total_bits,tc_correction_nats,grp_total_kde_scott_bits,grp_total_kde_silverman_bits,grp_total_knn_k1_bits,joint_kde_scott_bits,joint_kde_silverman_bits,joint_knn_k1_bits,hybrid_analytic_params,status,error
GW200219_094415,IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_mixed_cosmo.h5,24614,30000,C01:IMRPhenomXPHM,0.0633,19.597,20.18,17.041,0.404,18.779,18.845,21.167,19.362,19.428,21.75,,ok,
GW200220_061928,IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_mixed_cosmo.h5,6981,30000,C01:IMRPhenomXPHM,0.0632,15.221,15.749,13.295,0.366,14.998,15.066,15.599,15.526,15.594,16.127,luminosity_distance,ok,
GW200220_124850,IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_mixed_cosmo.h5,12006,30000,C01:IMRPhenomXPHM,0.0364,15.699,16.079,13.159,0.263,15.341,15.414,16.343,15.721,15.793,16.723,,ok,
GW200224_222234,IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_mixed_cosmo.h5,56300,30000,C01:IMRPhenomXPHM,0.0739,34.324,35.337,31.686,0.702,34.36,34.392,34.22,35.373,35.405,35.233,,ok,
GW200225_060421,IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_mixed_cosmo.h5,59014,30000,C01:IMRPhenomXPHM,0.0597,27.745,28.944,25.144,0.831,27.171,27.256,28.807,28.37,28.455,30.006,"mass_1_source, mass_2_source, luminosity_distance",ok,
GW200302_015811,IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_mixed_cosmo.h5,32374,30000,C01:IMRPhenomXPHM,0.0459,18.188,18.897,14.493,0.491,17.376,17.467,19.722,18.085,18.176,20.431,luminosity_distance,ok,
GW200306_093714,IGWN-GWTC3p0-v2-GW200306_093714_PEDataRelease_mixed_cosmo.h5,24328,30000,C01:IMRPhenomXPHM,0.0577,17.935,18.6,14.58,0.461,17.357,17.434,19.015,18.022,18.1,19.68,luminosity_distance,ok,
GW200308_173609,IGWN-GWTC3p0-v2-GW200308_173609_PEDataRelease_mixed_cosmo.h5,3266,30000,C01:IMRPhenomXPHM,0.0618,6.818,7.498,4.815,0.472,6.075,6.179,8.198,6.755,6.86,8.879,luminosity_distance,ok,
GW200311_115853,IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_mixed_cosmo.h5,60109,30000,C01:IMRPhenomXPHM,0.0588,36.003,36.759,33.348,0.524,36.461,36.493,35.054,37.217,37.249,35.81,luminosity_distance,ok,
GW200316_215756,IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_mixed_cosmo.h5,46990,30000,C01:IMRPhenomXPHM,0.0757,31.494,33.063,27.316,1.088,30.578,30.679,33.223,32.147,32.248,34.792,luminosity_distance,ok,
GW200322_091133,IGWN-GWTC3p0-v2-GW200322_091133_PEDataRelease_mixed_cosmo.h5,4020,30000,C01:IMRPhenomXPHM,0.0371,6.224,6.711,5.001,0.337,5.692,5.788,7.192,6.178,6.275,7.679,luminosity_distance,ok,
